,x,y
10x13,2573.12,3493.69
10x14,2559.81,3790.17
10x15,2574.28,4075.0
10x16,2575.73,4373.23
10x17,2588.75,4664.18
10x18,2577.75,4958.04
10x19,2586.72,5269.1
10x20,2584.99,5548.68
10x21,2579.2,5825.92
10x22,2581.22,6140.19
10x23,2572.83,6418.02
10x24,2575.73,6679.23
10x25,2591.06,6980.96
10x26,2598.59,7282.11
10x27,2552.87,7567.52
10x28,2577.46,7846.22
10x29,2560.1,8155.54
10x30,2586.72,8450.27
11x14,2861.34,3775.31
11x15,2872.92,4080.83
11x16,2859.6,4365.36
11x17,2857.58,4651.35
11x18,2858.16,4955.13
11x19,2848.61,5254.53
11x20,2841.37,5537.89
11x21,2855.84,5820.38
11x22,2861.34,6129.11
11x23,2864.81,6398.2
11x24,2870.89,6680.4
11x25,2858.74,6966.97
11x26,2859.6,7268.41
11x27,2868.57,7566.35
11x28,2864.23,7849.72
11x29,2863.94,8136.59
11x30,2861.92,8427.82
12x14,3202.22,3824.57
12x15,3200.49,4104.44
12x16,3193.54,4388.1
12x17,3205.12,4700.04
12x18,3216.69,4979.32
12x19,3214.67,5268.52
12x20,3201.93,5558.59
12x21,3213.22,5845.75
12x22,3216.98,6143.69
12x23,3207.43,6417.73
12x24,3200.78,6717.13
12x25,3210.33,7006.62
12x26,3207.43,7291.73
12x27,3203.96,7586.47
12x28,3204.25,7916.48
12x29,3209.75,8177.4
12x30,3214.38,8490.21
13x15,3484.07,4098.32
13x16,3492.76,4398.3
13x17,3490.73,4686.63
13x18,3486.68,4979.61
13x19,3482.05,5273.18
13x20,3489.57,5557.72
13x21,3473.37,5837.88
13x22,3494.2,6139.61
13x23,3498.25,6411.9
13x24,3506.07,6706.34
13x25,3484.94,7002.24
13x26,3495.07,7282.99
13x27,3488.99,7584.43
13x28,3491.6,7880.91
13x29,3480.6,8161.37
14x17,3767.37,4686.04
14x18,3752.04,4979.61
14x19,3769.98,5262.11
14x20,3757.82,5557.72
14x21,3767.66,5849.83
14x22,3767.37,6141.65
14x23,3758.4,6417.44
14x24,3769.4,6704.3
14x25,3761.88,7001.37
14x26,3755.51,7297.27
14x27,3764.77,7582.39
14x28,3774.32,7868.09
14x29,3769.69,8167.78
14x30,3778.08,8445.02
15x17,4049.8,4683.71
15x18,4068.9,4974.37
15x19,4069.48,5261.81
15x20,4059.06,5551.3
15x21,4070.64,5873.44
15x25,4064.85,6998.75
15x26,4059.64,7284.74
15x27,4059.93,7569.56
15x28,4057.62,7863.13
15x29,4068.32,8155.54
15x30,4054.14,8445.32
16x18,4331.36,4973.2
16x19,4320.95,5243.45
16x20,4335.99,5558.01
16x21,4322.1,5849.83
16x22,4337.73,6168.47
16x23,4338.89,6411.02
16x24,4330.5,6699.93
16x25,4327.31,6992.33
16x26,4337.73,7280.07
16x27,4329.05,7573.64
16x28,4325.29,7867.8
16x29,4340.91,8159.03
16x30,4335.71,8442.69
17x20,4613.51,5574.33
17x21,4625.37,5842.83
17x24,4620.45,6721.21
17x25,4599.91,6991.46
17x26,4621.9,7280.66
17x27,4612.93,7566.35
17x29,4603.38,8155.54
17x30,4614.37,8442.11
18x19,4915.03,5267.35
18x21,4906.64,5845.46
18x22,4933.84,6150.69
18x23,4911.27,6395.28
18x24,4910.69,6690.6
18x25,4923.43,6983.0
18x26,4927.19,7268.7
18x28,4919.09,7894.03
18x29,4927.77,8142.71
18x30,4919.38,8459.31
19x19,5211.35,5258.61
19x23,5217.43,6399.65
19x24,5214.83,6709.26
19x25,5211.93,7009.24
19x26,5206.44,7258.5
19x28,5204.7,7882.08
19x29,5216.27,8165.16
19x30,5220.9,8466.6
20x20,5515.49,5562.67
20x21,5520.41,5843.42
20x22,5523.88,6153.89
20x23,5509.99,6405.78
20x24,5519.83,6708.97
20x25,5514.62,7009.82
20x26,5554.26,7275.99
20x27,5518.38,7576.85
20x28,5516.65,7898.99
20x29,5520.7,8166.61
20x30,5502.75,8479.13
21x23,5786.92,6397.03
21x25,5782.29,7001.95
21x26,5781.71,7264.04
21x27,5787.79,7561.4
21x28,5779.98,7886.16
21x29,5778.82,8147.96
22x22,6058.07,6124.74
22x25,6060.96,6973.38
22x26,6073.4,7256.46
22x27,6065.59,7561.11
22x28,6057.49,7872.17
22x29,6067.9,8140.67
22x30,6062.12,8451.73
23x24,6409.95,6712.46
23x25,6409.08,7018.28
23x26,6413.71,7295.82
23x27,6404.74,7590.26
23x28,6411.1,7885.0
23x29,6414.86,8166.9
23x30,6411.1,8464.56
24x28,6685.14,7871.0
24x29,6692.09,8163.99
24x30,6692.66,8423.74
2x24,292.56,6718.88
2x25,296.9,6992.33
2x26,305.29,7284.74
2x27,274.91,7568.98
2x28,296.61,7872.46
2x29,284.17,8159.33
2x30,292.27,8445.32
2x31,296.03,8737.14
3x19,566.6,5274.64
3x20,548.37,5559.76
3x21,557.91,5845.16
3x22,553.28,6136.4
3x23,569.78,6419.48
3x24,558.78,6704.88
3x25,564.57,7001.37
3x26,551.26,7289.69
3x27,560.81,7583.26
3x28,552.42,7871.59
3x29,554.73,8156.7
3x30,555.02,8452.02
4x16,847.29,4377.61
4x17,851.05,4682.25
4x18,862.05,4966.5
4x19,846.13,5260.94
4x20,842.66,5552.18
4x21,858.58,5836.42
4x22,862.34,6129.11
4x23,852.21,6420.06
4x24,853.37,6702.84
4x25,851.05,6992.62
4x26,874.78,7288.24
4x27,859.73,7572.48
4x28,868.7,7857.01
4x29,862.63,8158.74
4x30,860.02,8445.61
5x14,1136.95,3801.25
5x15,1128.85,4091.91
5x16,1122.49,4386.64
5x17,1119.88,4711.99
5x18,1125.96,4969.7
5x19,1111.49,5293.59
5x20,1134.06,5556.26
5x21,1118.14,5836.13
5x22,1132.04,6151.85
5x23,1128.56,6414.23
5x24,1133.77,6699.35
5x25,1125.67,6987.67
5x26,1123.35,7283.28
5x27,1124.22,7547.99
5x28,1114.67,7864.3
5x29,1130.59,8154.08
5x30,1126.83,8442.4
6x11,1398.84,2968.35
6x12,1413.02,3219.07
6x13,1417.07,3530.71
6x14,1399.13,3788.72
6x15,1397.1,4116.69
6x16,1407.52,4391.02
6x17,1419.1,4700.04
6x18,1405.78,4976.99
6x19,1423.72,5293.88
6x20,1410.12,5555.38
6x21,1420.54,5834.09
6x22,1401.44,6127.66
6x23,1416.78,6440.47
6x24,1412.15,6686.23
6x25,1416.2,6984.46
6x26,1407.81,7278.32
6x27,1414.75,7566.65
6x28,1417.36,7858.76
6x29,1408.1,8156.12
6x30,1413.6,8441.23
7x11,1720.91,2944.45
7x12,1709.63,3214.99
7x13,1703.84,3527.21
7x14,1714.55,3805.62
7x15,1718.31,4112.9
7x16,1711.36,4383.44
7x17,1714.55,4694.79
7x18,1721.49,4968.24
7x19,1723.81,5296.21
7x20,1714.55,5553.34
7x21,1711.94,5838.46
7x22,1724.1,6145.15
7x23,1711.65,6431.72
7x24,1715.41,6694.1
7x25,1713.39,6977.76
7x26,1713.97,7273.08
7x27,1704.71,7569.27
7x28,1713.97,7856.43
7x29,1691.98,8165.16
7x30,1711.07,8441.23
8x12,1996.69,3213.53
8x13,2007.97,3503.6
8x14,1995.24,3817.87
8x15,2003.34,4085.49
8x16,2002.19,4381.4
8x17,1991.77,4705.28
8x18,2004.79,4965.91
8x19,1994.66,5276.68
8x20,1993.22,5546.06
8x21,2006.24,5830.88
8x22,2015.5,6148.36
8x23,2004.79,6421.52
8x24,2014.34,6692.93
8x25,2012.6,6983.0
8x26,2001.61,7283.86
8x27,2014.92,7567.23
8x28,2000.45,7854.97
8x29,2016.65,8150.58
8x30,1998.13,8436.28
9x12,2330.92,3211.49
9x13,2311.82,3501.27
9x14,2318.47,3811.46
9x15,2306.61,4083.16
9x16,2317.03,4382.27
9x17,2317.03,4689.54
9x18,2307.77,4966.79
9x19,2308.34,5280.76
9x20,2307.77,5551.59
9x21,2304.29,5832.63
9x22,2313.55,6153.02
9x23,2332.36,6397.03
9x24,2324.84,6690.02
9x25,2326.29,6991.75
9x26,2329.76,7280.36
9x27,2316.16,7561.69
9x28,2343.65,7834.85
9x29,2324.26,8154.37
9x30,2310.95,8440.65
